Source	Code	Description	Group_area	Group_area_code	ALFRED_sample_UID	Metapopulation_ID	Metapopulation_name	URL	Comments	Language_ISOs	Language_comments
ALFRED	SA004387W	Atayal				PO000021D	Atayal	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274387%27)		tay	
ALFRED	SA001493R	Dai, HGDP-CEPH				PO000464O	Dai	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%271493%27)		khb, tdd, thi, cuu, zhd	
ALFRED	SA001488V	Daur, HGDP-CEPH				PO000578U	Daur	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%271488%27)		dta	
ALFRED	SA001483Q	Han, HGDP-CEPH				PO000009J	Han	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%271483%27)		zho, cmn, yue	
ALFRED	SA004592U	Chinese				PO000009J	Han	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274592%27)		zho, cmn, yue	
ALFRED	SA001490O	Hezhen, HGDP-CEPH				PO000579V	Hezhe	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%271490%27)		gld	
ALFRED	SA002260K	Japanese, HGDP-CEPH				PO000010B	Japanese	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%272260%27)		jpn	
ALFRED	SA003027M	Koreans				PO000030D	Koreans	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%273027%27)		kor	
ALFRED	SA001494S	Lahu, HGDP-CEPH				PO000581O	Lahu	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%271494%27)		lhu, lhi	
ALFRED	SA001486T	Miaozu, HGDP-CEPH				PO000487T	Miao	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%271486%27)		hmn, hnj, hmm	
ALFRED	SA001496U	Naxi, HGDP-CEPH				PO000583Q	Naxi	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%271496%27)		nxq	
ALFRED	SA001487U	Oroqen, HGDP-CEPH				PO000541K	Oroqen	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%271487%27)		orh	
ALFRED	SA001495T	She, HGDP-CEPH				PO000582P	She	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%271495%27)		shx	Not clear if speakers of She or Shehua: assuming She
ALFRED	SA001497V	Tu, HGDP-CEPH				PO000584R	Tu	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%271497%27)		mjg	
ALFRED	SA001484R	Tujia, HGDP-CEPH				PO000486S	Tujia	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%271484%27)		tjs, tji	
ALFRED	SA001492Q	Uygur, HGDP-CEPH				PO000399V	Uyghur	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%271492%27)		uig	
ALFRED	SA001491P	Xibo, HGDP-CEPH				PO000580N	Xibe	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%271491%27)		sjo	
ALFRED	SA001485S	Yizu, HGDP-CEPH				PO000577T	Yi	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%271485%27)		iii	
ALFRED	SA001500G	Cambodian, HGDP-CEPH				PO000022E	Cambodians_Khmer	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%271500%27)		khm	
ALFRED	SA004384T	Cambodians				PO000022E	Cambodians_Khmer	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274384%27)		khm	
ALFRED	SA004385U	Hakka				PO000003D	Hakka	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274385%27)		hak	
ALFRED	SA004383S	Laotians				PO000671O	Lao_Loum	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274383%27)		lao	
ALFRED	SA001501H	Papuan, HGDP-CEPH				PO000084M	PNG	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%271501%27)		aau, amp, abt, kmn, bjh, bzf, can, wos, ian, iwm, kct, kbx, geb, kmo, mle, nux, msy, mtf, nnm, rao, dju, wax, wog, yss, yee	Coordinates seem to suggest the (Eastern) Sepik region, but there are lots of languages there; I seleted all languages in the Sepik and Lower Sepik-Ramu in WALS
ALFRED	SA002261L	Melanesian - (NAN Melanesian, HGDP-CEPH)				PO000012D	Melanesian_Nasioi	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%272261%27)		nas	
ALFRED	SA004382R	Micronesians				PO000063J	Micronesians	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274382%27)		adz, aji, nrz, aie, omb, aty, akr, alu, laz, apr, aia, upv, aul, nfl, bbn, wiv, bcm, tkw, cal, cam, mrn, chk, dhv, erk, erg, fij, wyy, fut, fud, pwg, nlg, gvs, hla, haw, hoa, iai, viv, mxe, jae, kxa, kpg, leu, pss, kcl, sbc, kij, gil, kkk, kos, kwd, tnk, lbu, lmu, llu, tnl, lww, lgu, los, crc, loj, ojv, khl, mme, mbq, mgl, mva, mna, mri, mqm, mrq, mah, mjk, mek, mvn, mkj, mte, meu, msu, emi, myw, mlv, fij, nak, nal, nmb, tvl, ntu, nau, nsn, nee, nen, llp, num, niu, nkr, yly, pma, duf, ptp, gfk, piv, pif, fwa, pon, psw, puw, lml, rap, mnv, rro, rtm, rug, apb, sku, sbe, smo, sjr, snc, xsi, baa, sob, sov, tvk, tgo, sgz, tah, sps, tbc, mla, hrc, nwi, tbo, tio, tgc, cir, tti, tkl, ksd, ton, mlu, pmt, tmq, lcm, tvl, uli, uur, vnm, wls, wed, woe, ane	Probably languages from the Micronesian branch of Austronesian; I selected all languages from the Oceanic genus of Austronesian in WALS
ALFRED	SA004587Y	Buryat				PO000393P	Buryat	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274587%27)		bxr, bua, bxu, bxm	
ALFRED	SA004594W	Ket				PO000823N	Ket	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274594%27)		ket	
ALFRED	SA004605P	Tuva				PO000387S	Tuva	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274605%27)		tyv	
ALFRED	SA001498W	Yakut, HGDP-CEPH				PO000011C	Yakut	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%271498%27)		sah	
ALFRED	SA004381Q	Yakut				PO000011C	Yakut	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274381%27)		sah	
ALFRED	SA004610L	Yakut				PO000011C	Yakut	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274610%27)		sah	
ALFRED	SA001511I	Pima, HGDP-CEPH				PO000034H	Pima	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%271511%27)		ood	
ALFRED	SA001512J	Maya, HGDP-CEPH				PO000013E	Maya	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%271512%27)		yua	
ALFRED	SA004388X	Maya				PO000013E	Maya	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274388%27)		yua	
ALFRED	SA001513K	Amerindian, HGDP-CEPH				PO000264M	Amerindians	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%271513%27)		pio	Probably several Arawakan, Chocoan and other families
ALFRED	SA001514L	Karitiana, HGDP-CEPH				PO000028K	Karitiana	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%271514%27)		ktn	
ALFRED	SA004391R	Karitiana				PO000028K	Karitiana	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274391%27)		ktn	
ALFRED	SA000069P	Peruvian Quechuan				PO000069P	Quechua	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%2769%27)		qwe, quh, qwc	Various Quetchuan languages
ALFRED	SA001515M	Surui, HGDP-CEPH				PO000014F	Surui	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%271515%27)		sru	
ALFRED	SA004390Q	Rondonian Surui				PO000014F	Surui	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274390%27)		sru	
ALFRED	SA004389Y	Ticuna				PO000027J	Ticuna	https://alfred.med.yale.edu/alfred/sampleDescrip.asp?sampleID=%274389%27)		tca	
ALFRED	SA001681Q	Burunge				PO000637Q	Burunge	https://alfred.med.yale.edu/alfred/recordinfo.asp?UNID=PO000637Q		bds	
Wong et al. 2020	WONG2020	Cantonese speakers				PO000009J	Han			yue	
Mekel-Bobrov et al. 2005	SE & SW Bantu				SA001818S						
Mekel-Bobrov et al. 2005	San				SA001469U						
Mekel-Bobrov et al. 2005	Mbuti Pygmy				SA001466R						
Mekel-Bobrov et al. 2005	Masai				SA004364R						
Mekel-Bobrov et al. 2005	Sandawe				SA004366T						
Mekel-Bobrov et al. 2005	Burunge				SA001681Q						
Mekel-Bobrov et al. 2005	Turu					TURU	Turu		Turu (Nyaturu, Rimi)	rim	
Mekel-Bobrov et al. 2005	NE Bantu				SA001819T						
Mekel-Bobrov et al. 2005	Biaka Pygmy				SA002256P						
Mekel-Bobrov et al. 2005	Zime					ZIME	Zime		Zime	lme, nnn, hed	
Mekel-Bobrov et al. 2005	Bakola Pygmy					BAKOLA	Bakola		Gyele (Bagyele / Bajele), Kola (Bakola) or Koya (Bakoya)	gyi, nmg	
Mekel-Bobrov et al. 2005	Bamoun					BAMOUN	Bamoun		Bamum (Shü Pamom), also spelled Bamun or Bamoun	bax	
Mekel-Bobrov et al. 2005	Yoruba				SA001468T						
Mekel-Bobrov et al. 2005	Mandenka				SA001467S						
Mekel-Bobrov et al. 2005	Mozabite				SA001471N						
Mekel-Bobrov et al. 2005	Druze				SA002257Q						
Mekel-Bobrov et al. 2005	Palestinian				SA001474Q						
Mekel-Bobrov et al. 2005	Bedouin				SA002254N						
Mekel-Bobrov et al. 2005	Hazara				SA001477T						
Mekel-Bobrov et al. 2005	Balochi				SA001476S						
Mekel-Bobrov et al. 2005	Pathan				SA002262M						
Mekel-Bobrov et al. 2005	Burusho				SA001482P						
Mekel-Bobrov et al. 2005	Makrani				SA001478U						
Mekel-Bobrov et al. 2005	Brahui				SA001475R						
Mekel-Bobrov et al. 2005	Kalash				SA001481O						
Mekel-Bobrov et al. 2005	Sindhi				SA001479V						
Mekel-Bobrov et al. 2005	Hezhen				SA001490O						
Mekel-Bobrov et al. 2005	Mongola				SA001489W						
Mekel-Bobrov et al. 2005	Daur				SA001488V						
Mekel-Bobrov et al. 2005	Orogen				SA001487U				Oroqen		
Mekel-Bobrov et al. 2005	Miaozu				SA001486T						
Mekel-Bobrov et al. 2005	Yizu				SA001485S						
Mekel-Bobrov et al. 2005	Tujia				SA001484R						
Mekel-Bobrov et al. 2005	Han				SA001483Q						
Mekel-Bobrov et al. 2005	Xibo				SA001491P						
Mekel-Bobrov et al. 2005	Uygur				SA001492Q						
Mekel-Bobrov et al. 2005	Dai				SA001493R						
Mekel-Bobrov et al. 2005	Lahu				SA001494S						
Mekel-Bobrov et al. 2005	She				SA001495T						
Mekel-Bobrov et al. 2005	Naxi				SA001496U						
Mekel-Bobrov et al. 2005	Tu				SA001497V						
Mekel-Bobrov et al. 2005	Cambodian				SA001500G						
Mekel-Bobrov et al. 2005	Japanese				SA002260K						
Mekel-Bobrov et al. 2005	Yakut				SA001498W						
Mekel-Bobrov et al. 2005	Papuan				SA001501H						
Mekel-Bobrov et al. 2005	NAN Melanesian				SA002261L						
Mekel-Bobrov et al. 2005	French Basque				SA001504K						
Mekel-Bobrov et al. 2005	French				SA001503J						
Mekel-Bobrov et al. 2005	Sardinian				SA001505L						
Mekel-Bobrov et al. 2005	North Italian				SA002255O						
Mekel-Bobrov et al. 2005	Tuscan				SA001507N						
Mekel-Bobrov et al. 2005	Orcadian				SA001508O						
Mekel-Bobrov et al. 2005	Russian				SA001510H						
Mekel-Bobrov et al. 2005	Adygei				SA001509P						
Mekel-Bobrov et al. 2005	Karitiana				SA001514L						
Mekel-Bobrov et al. 2005	Surui				SA001515M						
Mekel-Bobrov et al. 2005	Colombian				SA001513K						
Mekel-Bobrov et al. 2005	Pima				SA001511I						
Mekel-Bobrov et al. 2005	Maya				SA001512J						
ExAC	African					AFR	African	https://www.ncbi.nlm.nih.gov/bioproject/PRJEB8661		?	
ExAC	American					AMER	American	https://www.ncbi.nlm.nih.gov/bioproject/PRJEB8661		?	
ExAC	Asian					ASIA	Asian	https://www.ncbi.nlm.nih.gov/bioproject/PRJEB8661		?	
ExAC	Europe					EURO	European	https://www.ncbi.nlm.nih.gov/bioproject/PRJEB8661		?	
ExAC	Global					WRLD	World	https://www.ncbi.nlm.nih.gov/bioproject/PRJEB8661		?	
ExAC	Other					OTHER	Other	https://www.ncbi.nlm.nih.gov/bioproject/PRJEB8661		?	
TopMed	Global					WRLD	World	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA400167	The overall sample has approximately 50% non-European ancestry to reflect the diverse U.S. population: European: 50 percent, African: 30 percent, Hispanic/Latino: 10 percent, Asian: 8 percent, Other (including Pacific Islanders): 2 percent	?	
GO Exome Sequencing Project	African American					PO000098R	African_Americans	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA192955		?	
GO Exome Sequencing Project	European American					PO000329O	European_Americans	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA192955		?	
GO Exome Sequencing Project	Global					WRLD	World	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA192955		?	
gnomAD - Exomes	African					AFR	African			?	
gnomAD - Exomes	American					AMER	American			?	
gnomAD - Exomes	Ashkenazi Jewish					PO000038L	Jews_Ashkenazi			yid, heb	
gnomAD - Exomes	Asian					ASIA	Asian			?	
gnomAD - Exomes	European					EURO	European			?	
gnomAD - Exomes	Global					WRLD	World			?	
gnomAD - Exomes	Other					OTHER	Other			?	
gnomAD - Genomes	African					AFR	African			?	
gnomAD - Genomes	American					AMER	American			?	
gnomAD - Genomes	Ashkenazi Jewish					PO000038L	Jews_Ashkenazi			yid, heb	
gnomAD - Genomes	East Asian					ASIA	Asian			?	
gnomAD - Genomes	European					EURO	European			?	
gnomAD - Genomes	Global					WRLD	World			?	
gnomAD - Genomes	Other					OTHER	Other			?	
FINRISK	Finnish					PO000018J	Finns			fin	
Genome of the Netherlands Release 5	Dutch					PO000442K	Dutch			nld	
KOREAN population from KRGDB	Korean					PO000030D	Koreans			kor	
Qatari	Qatar					PO000510G	Qatari			afb, arb	
The Danish reference pan genome	Danish					PO000007H	Danes			dan	
